"CONFIG_MODVERSIONS","CONFIG_ZONE_DMA","CONFIG_NET_DSA","CONFIG_DEBUG_VM","CONFIG_TIMER_STATS","CONFIG_PRINTK","CONFIG_ALPHA_SABLE","CONFIG_GENERIC_FIND_LAST_BIT","CONFIG_CONSTRUCTORS","CONFIG_NETWORK_SECMARK","CONFIG_DEBUG_HIGHMEM","CONFIG_ZONE_DMA32","CONFIG_TR_MODULE","CONFIG_PM_SLEEP","CONFIG_ALPHA_WILDFIRE","CONFIG_IPV6_NDISC_NODETYPE","CONFIG_NET_SCHED","CONFIG_PROVE_LOCKING","CONFIG_ALPHA_MARVEL","CONFIG_PROC_FS","CONFIG_GENERIC_HARDIRQS","CONFIG_PREEMPT_VOLUNTARY","CONFIG_X86_32","CONFIG_XFRM","CONFIG_VLAN_8021Q_MODULE","CONFIG_BRIDGE_NETFILTER","CONFIG_ALPHA_CABRIOLET","CONFIG_NET_IPIP_MODULE","CONFIG_NET_POLL_CONTROLLER","CONFIG_HIGHMEM","CONFIG_MODULE_UNLOAD","CONFIG_DCB","CONFIG_FCOE","CONFIG_PCI_DOMAINS","CONFIG_PCIEASPM","CONFIG_PCIE_ECRC","CONFIG_FCOE_MODULE","CONFIG_ALPHA_RAWHIDE","CONFIG_NETPOLL_TRAP","CONFIG_ALPHA_DP264","CONFIG_NET_NS","CONFIG_TRACEPOINTS","CONFIG_GENERIC_BUG","CONFIG_PCI","CONFIG_VLAN_8021Q","CONFIG_SMP","CONFIG_NET_DSA_TAG_TRAILER","CONFIG_PCI_QUIRKS","CONFIG_BINARY_PRINTF","CONFIG_TR","CONFIG_PM","CONFIG_HT_IRQ","CONFIG_PCI_MSI","CONFIG_DEBUG_SPINLOCK_SLEEP","CONFIG_NET_CLS_ACT","CONFIG_SYMBOL_PREFIX","CONFIG_ALPHA_EB66","CONFIG_HAVE_EFFICIENT_UNALIGNED_ACCESS","CONFIG_NET_DMA","CONFIG_HOTPLUG","CONFIG_KMEMCHECK","CONFIG_GENERIC_IRQ_PROBE","CONFIG_ALPHA_GENERIC","CONFIG_LBDAF","CONFIG_RPS","CONFIG_EISA","CONFIG_DYNAMIC_DEBUG","CONFIG_NET_IPIP","CONFIG_RING_BUFFER","CONFIG_BUG","CONFIG_FTRACE_MCOUNT_RECORD","CONFIG_ALPHA_TITAN","CONFIG_UNUSED_SYMBOLS","CONFIG_PCI_MMCONFIG","CONFIG_NF_CONNTRACK","CONFIG_NF_CONNTRACK_MODULE","CONFIG_HOTPLUG_PCI","CONFIG_NET_DSA_TAG_DSA","CONFIG_NUMA","CONFIG_EVENT_TRACING","CONFIG_TRACING","CONFIG_SYSFS","CONFIG_DEBUG_OBJECTS_TIMERS","CONFIG_HOTPLUG_PCI_MODULE","CONFIG_KALLSYMS","CONFIG_NETPOLL","CONFIG_ALPHA_ALCOR","CONFIG_NETWORK_PHY_TIMESTAMPING","CONFIG_WIRELESS_EXT","CONFIG_LOCKDEP","CONFIG_EISA_NAMES","CONFIG_PCI_IOV","CONFIG_MODULES"
"false","false","false","false","true","true","true","true","false","false","false","true","false","false","false","false","true","true","true","true","false","false","false","true","true","true","true","false","true","true","true","false","false","false","false","true","false","false","false","true","true","true","true","false","false","true","false","false","true","false","true","true","true","false","true","true","true","true","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true","true","true","true","true","false","false","false","true","true","false","false","true","false","false","true","false","false"
"false","false","true","true","true","true","true","false","true","false","true","false","true","false","false","false","false","false","false","true","false","false","false","false","false","true","false","true","false","false","true","false","true","true","true","false","false","false","true","true","false","true","false","false","false","true","true","true","true","false","true","true","true","true","true","false","true","false","false","true","false","true","false","true","false","false","true","true","false","true","true","true","false","true","true","false","false","true","false","false","false","true","true","true","true","false","true","false","true","false","true","false","true"
"false","true","true","false","true","false","false","false","false","false","true","false","true","true","false","true","true","true","false","false","true","false","false","false","false","false","true","true","true","true","true","false","false","false","true","true","false","true","true","true","true","true","true","true","true","true","true","true","true","false","true","true","false","true","true","false","false","true","true","true","true","true","true","false","true","false","false","true","false","false","false","false","false","true","false","false","true","true","false","false","true","true","false","false","false","false","false","true","false","false","true","false","false"
"false","false","true","false","false","false","true","true","true","false","true","true","true","true","true","true","false","false","false","false","true","true","false","true","false","false","false","false","true","true","false","true","true","true","false","false","false","false","false","true","false","true","true","true","false","true","true","false","false","false","true","false","true","false","false","false","false","true","true","false","false","true","true","false","true","false","true","true","false","true","true","false","true","true","false","false","true","true","true","true","true","true","true","true","false","false","true","true","false","false","false","false","false"
"false","true","true","true","true","false","false","true","true","false","false","true","false","true","true","true","false","false","true","false","false","true","false","false","true","true","true","false","false","true","true","false","false","true","false","false","true","true","false","true","true","false","false","false","false","false","true","true","false","false","false","true","false","false","true","false","false","false","false","false","true","false","true","true","true","false","false","true","true","false","true","false","true","true","true","true","true","true","true","true","false","true","true","false","true","true","false","true","true","false","false","false","true"
"false","false","true","true","false","false","false","true","true","false","true","false","false","true","false","false","false","false","false","true","true","true","true","false","false","false","false","true","false","false","true","false","false","true","false","true","true","true","false","false","true","false","true","false","true","true","true","false","true","true","true","false","true","true","true","false","true","true","false","true","false","true","false","false","true","false","true","false","true","true","false","false","true","false","false","false","true","false","true","false","true","false","true","true","false","true","true","false","false","false","false","false","true"
"true","false","false","false","false","true","true","false","false","true","true","true","true","false","false","true","true","false","false","false","false","true","true","true","true","false","false","false","false","true","true","true","true","false","false","false","false","true","true","true","true","false","false","false","false","true","true","true","true","false","false","false","false","true","true","true","true","false","false","false","false","true","true","true","true","false","false","false","false","true","true","true","true","false","false","false","false","true","true","true","true","false","false","false","false","true","true","true","true","false","false","false","false"
"true","true","false","false","false","false","true","false","false","false","true","true","true","false","false","true","false","false","false","true","false","true","true","false","true","false","true","true","false","true","true","false","false","false","false","true","true","true","false","false","true","false","false","true","true","false","false","false","true","true","false","true","false","false","false","false","false","true","true","true","true","false","true","true","false","false","false","true","true","true","true","true","false","true","false","true","true","false","true","false","true","true","false","false","true","true","false","true","false","false","false","false","true"
"true","true","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false"
"true","false","false","true","true","false","true","true","true","false","true","false","false","true","true","true","true","false","true","false","false","true","false","true","true","false","true","true","true","false","false","true","false","true","false","true","false","true","false","false","true","false","false","true","false","true","true","false","true","true","true","true","true","true","false","false","true","false","false","false","false","false","true","true","true","false","false","true","false","true","false","true","false","true","true","true","false","true","false","true","false","false","false","false","true","true","false","false","true","true","true","false","false"
