"UINT_MAX==ULLONG_MAX","WANT_PIDFILE","ULONG_MAX==ULLONG_MAX","ENABLE_FEATURE_ADDUSER_TO_GROUP","BYTE_ORDER==LITTLE_ENDIAN","ENABLE_FEATURE_TOP_SMP_PROCESS","va_copy","ENABLE_LFS","HAVE_STRCHRNUL","COMM_LEN","ENABLE_FEATURE_BUFFERS_GO_IN_BSS","HAVE_SETBIT","CONFIG_FEATURE_EDITING_HISTORY","ADJ_TIMECONST","ENABLE_FEATURE_PREFER_APPLETS","9,","MOD_CLKA","MOD_CLKB","ENABLE_FEATURE_IPV6","ENABLE_FEATURE_UTMP","S_TYPEISTMO","ENABLE_LONG_OPTS","ENABLE_FEATURE_EDITING","ENABLE_FEATURE_EDITING_SAVE_ON_EXIT","HAVE_STPCPY","ADJ_TICK","MOD_OFFSET","UCLIBC_VERSION>KERNEL_VERSION0,","HAVE_STRSIGNAL","UINT_MAX==0xffffffff","HAVE_FDATASYNC","MIN","HAVE_MKDTEMP","ENABLE_FEATURE_CHECK_NAMES","ADJ_FREQUENCY","MOD_FREQUENCY","BB_PLATFORM_H","HAVE_STRSEP","ANDROID","MOD_TIMECONST","ENABLE_PMAP","ENABLE_FEATURE_DEVFS","LIBBB_H","HAVE_GETLINE","MAX","28","S_TYPEISSHM","BB_BIG_ENDIAN","ARG_MAX","HAVE_UNLOCKED_LINE_OPS","HAVE_CLEARENV","TASK_COMM_LEN","ENABLE_SELINUX","HAVE_MEMRCHR","ENABLE_FEATURE_TOPMEM","ENABLE_FEATURE_PIDFILE","HAVE_UNLOCKED_STDIO","CONFIG_FEATURE_EDITING_HISTORY>0","ENABLE_FEATURE_INDIVIDUAL","ENABLE_NOMMU","BB_MMU","i386","S_TYPEISMQ","BYTE_ORDER==BIG_ENDIAN","ENABLE_WERROR","HAVE_SIGHANDLER_T","ADJ_OFFSET_SINGLESHOT","BUILD_INDIVIDUAL","PATH_MAX","ENABLE_FEATURE_GETOPT_LONG","SEAMLESS_COMPRESSION","HAVE_XTABS","MAX_HISTORY","ENABLE_FEATURE_BUFFERS_GO_ON_STACK","HAVE_STRCASESTR","S_TYPEISSEM","ENABLE_ROUTE","ENABLE_DESKTOP","ENABLE_FEATURE_DEL_USER_FROM_GROUP","HAVE_USLEEP","ENABLE_LOCALE_SUPPORT","BYTE_ORDER","ENABLE_FEATURE_PS_ADDITIONAL_COLUMNS","ENABLE_USE_BB_CRYPT","ENABLE_IOCTL_HEX2STR_ERROR","ENABLE_FEATURE_HWIB","UINT_MAX==ULONG_MAX","HAVE_VASPRINTF","HAVE_MNTENT_H","ENABLE_FEATURE_STAT_FORMAT","ULONG_MAX>0xffffffff","BUFSIZ"
"false","true","true","true","false","true","true","false","true","false","false","true","false","true","true","false","true","false","false","true","false","true","true","false","false","true","true","false","true","false","false","true","true","false","false","true","false","true","true","false","false","true","true","false","true","false","false","true","true","false","false","true","false","true","true","false","false","true","true","false","true","false","false","true","true","false","false","true","false","true","true","false","false","true","true","false","true","false","false","true","true","false","false","true","false","true","true","false","false","true","true","false"
"false","true","false","true","true","true","false","false","false","false","true","false","false","false","true","true","true","true","false","false","false","false","true","true","false","true","false","true","true","false","true","false","true","true","false","true","true","true","false","false","true","false","true","true","false","false","false","true","true","false","false","false","true","false","false","true","false","true","false","false","false","true","true","true","true","false","true","true","true","false","false","false","false","true","false","false","false","true","true","true","true","false","true","true","true","false","false","false","false","true","false","true"
"true","true","true","false","true","true","true","true","false","false","false","false","true","true","true","true","false","false","false","true","false","false","false","false","true","true","false","true","false","true","false","true","true","false","true","false","true","false","true","false","true","false","true","true","false","true","false","true","true","false","true","true","false","false","false","false","true","true","true","false","false","true","false","false","true","true","false","true","false","false","true","false","true","false","true","true","true","true","true","true","false","true","false","false","false","false","false","false","true","true","false","false"
"true","true","false","true","false","false","true","false","false","false","false","true","true","false","false","true","true","true","true","false","true","true","false","false","false","true","true","true","true","true","false","true","true","true","true","false","false","true","false","false","true","false","true","false","false","false","false","false","false","false","true","true","true","true","true","false","false","false","false","true","false","true","true","false","false","false","false","true","true","true","false","true","true","false","true","true","false","true","true","false","true","false","true","false","false","false","true","true","true","true","true","false"
"true","false","false","false","true","true","false","true","true","true","true","true","false","true","true","true","true","false","true","true","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","true","true","false","true","true","true","true","false","false","true","true","false","false","false","false","true","true","true","true","true","true","false","true","false","false","false","false","false","true","true","true","false","true","true","false","false","false","false","true","false","true","true","true","true","true","false","false","true","true","false","true","true","true","true","false"
"true","false","false","false","false","true","true","true","false","false","true","false","true","true","true","false","false","true","true","true","false","true","true","false","true","false","false","false","true","true","true","true","false","false","true","true","true","true","false","false","true","false","true","false","false","true","true","false","false","false","false","false","false","true","false","true","false","true","false","false","true","true","true","false","false","false","true","true","false","false","true","true","true","true","false","false","false","false","false","false","false","true","false","false","false","false","true","true","true","true","true","false"
"false","false","false","true","false","true","false","false","true","false","false","true","true","true","false","true","false","true","false","false","true","false","true","true","true","false","true","true","true","true","true","false","false","false","false","true","false","false","true","false","false","false","true","false","true","false","false","true","true","false","true","false","true","true","false","false","true","false","false","true","false","false","false","false","true","true","false","true","false","false","true","true","true","false","false","true","false","true","true","false","false","false","false","true","false","false","false","true","true","true","false","true"
"true","true","true","false","false","false","false","false","false","true","true","true","true","true","false","true","true","false","false","true","true","false","false","true","false","false","true","true","true","false","false","true","false","true","false","true","true","false","false","false","true","true","true","false","true","true","true","true","true","false","true","false","true","false","false","true","false","false","false","false","true","true","false","true","false","false","false","false","false","true","false","true","true","true","true","false","false","false","true","true","true","true","true","true","true","false","false","false","true","true","true","false"
"false","false","false","true","false","false","false","true","true","true","false","true","false","false","true","false","true","true","false","false","true","false","false","false","true","true","false","false","true","true","false","true","false","true","true","false","false","false","true","true","true","false","true","true","false","true","true","true","true","false","false","true","false","false","true","true","false","false","false","true","true","true","false","false","true","true","true","false","false","false","false","true","false","true","false","false","true","false","true","true","false","false","false","true","false","true","false","false","false","true","true","true"
"true","true","false","false","true","true","false","true","true","false","true","false","true","false","true","false","true","true","false","false","false","true","true","false","true","true","true","true","false","true","false","true","false","false","false","false","false","true","false","true","false","true","true","false","true","true","true","true","true","false","true","false","false","false","true","true","false","false","true","true","false","false","true","false","false","true","false","false","true","false","true","false","true","true","true","false","false","false","true","true","true","false","true","true","true","false","false","false","true","true","true","false"
